,names,logFC_C
86283,Sptb,-2.7325418
86194,Rasal1,-2.0013435
86277,Slc43a1,-1.8559467
86315,Cyp39a1,-1.5317483
86143,Sytl3,-1.3964969
86139,Ctxn1,-1.3836212
86203,Jup,-1.3599098
86364,Rftn2,-1.3402187
86204,Mcoln3,-1.3194534
86369,Wnt10b,-1.3187094
86454,Ccdc157,-1.2921076
86123,Tbc1d32,-1.2741194
86544,Mast4,-1.2382635
86357,Kifc2,-1.2128351
86135,Map3k9,-1.1473796
86370,Ckb,-1.126114
86212,Slc27a1,-1.0459886
86806,Cdc42ep3,-1.0391277
86474,Sestd1,-1.0358181
86080,H2bc27,-1.0340812
86317,Ksr2,-1.0290154
86359,Sfxn4,-1.0041627
86191,Gnb4,-0.9833923
86218,Rims3,-0.9664589
86184,Gtf2ird1,-0.9371937
86572,Nyap1,-0.9205319
86082,Caprin2,-0.8798627
86459,Zfhx2,-0.79854316
86192,Nmb,-0.7946095
87012,Pbxip1,-0.79194003
86200,Tpk1,-0.7876916
86526,Zfp945,-0.7642358
86467,Xkr5,-0.7581643
86696,Cd1d1,-0.751976
86593,Smpd5,-0.7506033
86290,Mapre3,-0.7451233
86479,Nqo2,-0.7431531
86455,Eif4ebp1,-0.7403917
86237,Cbarp,-0.73472536
86436,Rras,-0.73145473
86448,Grk4,-0.7182383
86340,H2bc21,-0.7181567
86114,Fut7,-0.7050504
86886,Kcnmb4,-0.69218713
86092,Serpini1,-0.6908604
86522,Mgst3,-0.68864584
86477,Baz2b,-0.6861319
86111,Zfp959,-0.67064357
86314,Bivm,-0.6694948
86168,Tjp3,-0.6682951
86166,Neu1,-0.66659814
86363,Eno3,-0.66049653
86159,Bbs2,-0.65726084
86337,Ift57,-0.6307306
86101,Atat1,-0.623558
86155,Ndrg1,-0.61927444
86182,Adck5,-0.6189704
86613,Ippk,-0.6180908
86457,Fancc,-0.6172504
86247,Cfp,-0.615234
86591,Usp11,-0.60900855
86926,Mterf2,-0.6025531
86339,Zmat1,-0.5888837
86545,Mindy1,-0.5868322
86249,Sirt4,-0.57511795
86148,Zfp579,-0.57477117
86171,Mccc1,-0.57288456
86424,Tbc1d19,-0.5726795
86762,Ccdc28b,-0.5675
86196,Osbpl5,-0.5593571
86320,Lyrm9,-0.5584348
86462,Slc29a3,-0.55463386
86109,Slc19a1,-0.5545325
86227,Hddc3,-0.5471704
86321,Zfp677,-0.5449493
86729,Cilk1,-0.5426628
86386,Cep164,-0.5374415
86622,Spice1,-0.5367762
86186,Dynlt3,-0.5349224
87118,Ldhb,-0.53131586
86219,Qser1,-0.53025246
86770,Zfp382,-0.5290208
86405,Arl15,-0.52392
86704,Crebl2,-0.5224716
86105,Pgap3,-0.52014196
86348,Pstk,-0.5200985
86421,Zfyve16,-0.51018405
86224,Acad10,-0.5083672
86262,Irs2,-0.50414306
86128,Hgsnat,-0.5038722
86517,Cplane1,-0.5008535
86795,Svil,-0.49644738
86133,Sec22c,-0.49387607
86521,Zranb3,-0.493145
