interaction,name,adj_pval,lfc,mean_lfc_single,max_abs_lfc_single,coeff_diff
IL4_TNF,Rhof,4.20E-20,-0.417041215,0.058900202,0.063798367,-0.358141014
IL6_TNF,Hsd17b10,1.04E-18,0.60609297,-0.072050536,0.087229789,0.534042434
IL4_TNF,Dnm1l,1.61E-18,0.497622755,0.023053942,0.035763235,0.520676697
IL4_IL2,Tle3,2.17E-17,0.450209819,-0.078816427,0.099111932,0.371393392
IL6_TNF,Lpxn,1.05E-16,0.449577333,-0.081372803,0.082163563,0.368204531
IL4_TNF,Rsbn1,2.47E-11,0.495840401,0.023806765,0.090114398,0.519647166
IFNA_IL2,H2-DMa,6.11E-11,0.64422579,-0.041939257,0.045193206,0.602286532
IL4_TNF,Noc4l,2.07E-09,0.535668684,-0.006794368,0.009255238,0.528874316
IL6_TNF,Wdr59,2.09E-09,0.792833998,-0.052212248,0.096993416,0.740621751
IL6_TNF,Cacybp,3.34E-09,0.435068783,0.067894604,0.090525665,0.502963387
IFNA_TNF,Wdr59,9.16E-09,0.772987865,-0.054612068,0.096683828,0.718375797
IL6_TNF,Tfap4,8.26E-08,0.768958992,-0.025346483,0.055241998,0.743612509
IL6_TNF,Lipe,1.90E-07,0.606365693,0.00854771,0.069768999,0.614913403
TNF_IL21,Ifi30,3.54E-07,0.574443639,-0.00898522,0.021373868,0.565458419
IL6_IL21,Phc3,5.03E-07,0.407531274,-0.034190313,0.065170506,0.373340961
TNF_IL21,Cacybp,5.74E-07,0.418553772,0.040616375,0.058593174,0.459170148
IL4_IL27,Xdh,2.50E-06,1.276928987,-0.029312339,0.086752888,1.247616649
IL6_TNF,Rorc,5.79E-06,1.747768639,-0.019091648,0.081819197,1.728676991
IL4_TNF,Kansl1l,7.02E-05,-0.438887682,-0.037869747,0.092913163,-0.476757429
TNF_IL21,Lipe,1.13E-04,0.536868675,-0.010774092,0.046285897,0.526094584
IL4_TNF,Bola1,3.11E-04,0.439583501,0.036078592,0.061091735,0.475662093
IL6_TNF,Prdm4,3.82E-04,0.414674459,0.033847902,0.077339546,0.44852236
TNF_IL27,Lipe,6.15E-04,0.417327196,-0.024326935,0.049804851,0.393000261
IL4_TNF,Ptpn13,0.002966329,0.967873829,0.029583949,0.042717638,0.997457778
IL2_IL21,Izumo4,0.004260214,-0.555738934,-0.011276588,0.046579891,-0.567015521
IFNA_IL27,Fam241a,0.006154499,0.527450305,-0.058253063,0.074520948,0.469197242
IL4_TNF,Tmem199,0.008407497,0.41983933,0.011973173,0.042778222,0.431812503
TNF_IL21,Rom1,0.009590622,-0.516969166,-0.052641704,0.065812273,-0.569610871
TNF_IL21,Tfap4,0.010460521,0.473620216,-0.011316813,0.01757537,0.462303403
IFNA_IL6,Fndc3a,0.011333412,0.430258192,-0.03149982,0.096174653,0.398758372
IL6_TNF,Tmem199,0.012102124,0.454706456,-7.89E-04,0.014903585,0.45391757
IL12_IL21,Smad5,0.012646388,0.462257682,-0.003735914,0.095875775,0.458521769
IL12_IL21,Gnl3,0.016764065,0.565606813,0.035946337,0.081493971,0.60155315
TNF_IL21,Fam241a,0.016971925,0.450523937,0.042237026,0.052404954,0.492760963
IL4_TNF,Slc5a6,0.018859441,0.588966793,-0.027264472,0.039409517,0.561702322
IL21_IL27,Gnl3,0.03385301,0.468085285,0.023703679,0.043675709,0.491788965
IL6_TNF,Adat1,0.037239646,0.492911779,0.02777804,0.054401417,0.520689819
IL12_IL21,Klf10,0.041774928,0.436999664,-0.016256288,0.026919955,0.420743377
IL4_IL27,Dcun1d3,0.057381861,0.444411855,-0.03486946,0.078574532,0.409542395
TNF_IL21,Polr1g,0.063391368,0.5655903,0.062415491,0.066935002,0.628005791
IL12_IL2,Slfn8,0.06668901,-0.423329185,-0.011593714,0.031018633,-0.434922899
IL4_TNF,Farp2,0.084454241,0.594244906,0.024787827,0.036796703,0.619032733
IL12_IL21,Tyw5,0.086017917,0.481062398,0.022373916,0.035179914,0.503436314
