genes,cluster,IFNA_IL2,IFNA_IL21,IFNA_IL27,IFNA_IL6,IFNA_TNF,IL12_IFNA,IL12_IL2,IL12_IL21,IL12_IL27,IL12_IL6,IL12_TNF,IL21_IL27,IL2_IL21,IL2_IL27,IL2_TNF,IL4_IFNA,IL4_IL12,IL4_IL2,IL4_IL21,IL4_IL27,IL4_IL6,IL4_TNF,IL6_IL2,IL6_IL21,IL6_IL27,IL6_TNF,TNF_IL21,TNF_IL27
A3galt2,-1,0.0876750708024421,-0.0774722324443868,0.0770656018820795,0.1676684221824347,0.1311958097005992,0.1290178399530812,0.0669276651161255,0.1242568839688985,0.1046967784715704,0.2110245348452678,0.3526809942820316,-0.1612309437600232,0.3140771861922545,0.1387718234970764,0.2605046984900139,0.1422944087903673,0.0001953937958138411,0.0184303968781521,-0.1192092761362473,-0.1045864092478933,0.0335047510046252,-0.0778568001935535,0.2128492822965797,-0.0345459130290501,-0.0329163440188267,0.2836478776710668,-0.1186940443565846,0.2913109589421849
AA467197,-1,-0.1154897425849904,0.2240523418221932,-0.05435762838709,-0.4308034941091255,-0.0478573673950987,-0.0035281325299215,0.0247470804238085,0.8749625616045775,-0.250926219912149,0.2032263977063,-0.429840509757619,0.0976275112521795,0.4119522882358694,0.0854133582608211,-0.0495611242063115,0.0046606191272193,0.0053765576172647,-0.4044631493292837,0.1828983343230011,0.1346278720986928,-0.6291092187073528,-0.1103495072735314,-0.2178442664361933,0.2040283724620955,-0.226007090936092,0.1191881691229231,0.2826456739764874,0.0390230436771722
AA986860,-1,-0.1254790093521058,0.0055791964994809,-0.1150682547887758,0.0068973189320736,0.1696474641625898,-0.0432516327176143,-0.2310230085610143,-0.4596195760266863,-0.2249257223509698,-0.5267781667365764,-0.0704601287375797,0.0994205050652151,0.0948280121813231,-0.2397751469043932,-0.0300834156067296,-0.4513849010150533,-0.3690130787641023,-0.125848612749137,0.0808833884421878,0.1471349317568686,-0.1028059633882682,-0.0257499405492817,0.1780985173864771,-0.0400596765902052,-0.0434599644552984,0.1339622039346935,0.3176882542394212,-0.0813026418799323
AI429214,-1,-0.2635503438367503,0.057564883034644,0.0669201810842273,-0.3799545758602043,0.0828050501809979,-0.1341007218991205,0.0739423612508098,-0.0524546513315946,-0.0468578861888095,0.2315247086413288,-0.3973162499257273,-0.0860984584651708,0.0337458281443408,0.0649046490362343,-0.3180702258521672,-0.1339967565811557,-0.1464549215047536,-0.2491049488019336,-0.3634520427389781,-0.1254603670973085,-0.2614029164354771,-0.3428173858804635,-0.3279823961325398,-0.1656091967233639,-0.0736820303086652,-0.2466582516164134,0.1182608856323286,-0.044100372473215
AI854703,-1,0.2417060616563054,0.1492474159072018,-0.0879548884362746,-0.148687668235344,0.0416839918346521,-0.012656144656956,-0.3155827800022973,-0.3469037595179584,-0.0829204798600881,-0.6647847940698803,0.0507907661460067,0.0314264826814429,0.0838794858059703,-0.0979817085111308,0.2273039991881817,-0.0802462798566233,-0.0206361393242948,0.1338114698881493,0.1272201945000276,-0.0826624340840899,-0.3952972106271137,-0.0110374946956676,-0.0174681070558156,-0.1134706288919418,-0.4790155655924487,0.0149891519991245,0.0402100433937741,-0.1486592563548827
Aaas,-1,0.0218080872330567,-0.0407655643291667,0.0454546498453815,-0.0265833399622484,0.0630979414996301,-0.044431436387463,0.024451092325469,-0.0627969604875613,-0.0754599296934713,-0.0228750548033098,0.0868720604669645,-0.0479162633065609,0.0038064402348141,-0.0442858893866134,-0.052981714050779,0.0373330398186501,0.0317025036258966,0.0026979708068925,0.0171458580503642,0.0032128025360638,3.813765246907451e-05,-0.0290029014840657,-0.0130226433199351,-0.0594885640213853,-0.0269640002518339,0.0655605263346028,0.0811880855663459,0.0499076227014047
Aacs,-1,-0.2067669429835972,-0.0184127745910746,-0.0595617770861943,0.04554013808523,0.143679244148968,0.0297236547023287,0.1521193007366758,0.0100896132718719,-0.0330382872393743,0.029424887445943,0.0064138000443499,-0.0388121980402854,-0.2375475951806594,-0.1767333874033406,-0.0782996469922567,-0.0012638115754758,-0.0028856952781354,-0.5746615356711844,-0.1716164564603975,-0.0897343324367396,-0.2293536566057441,-0.0422155741516214,-0.3523292975982105,-0.0124113858874778,-0.1567867340024606,0.0236714774409717,0.0630129126243812,-0.1374889483515645
Aatf,-1,0.021805763038538,0.0290899762002068,-0.0676378476510935,-0.1471094738626671,0.0048510550601609,-0.0563563449596949,0.0878964403974002,0.2261200173759682,0.058037134065891,0.0174823071145035,0.0204891068451756,0.1241037917590631,-0.0406543869835315,-0.0231147082929952,0.0614885788947882,0.0150902051857407,0.040072873942762,-0.121826067122208,-0.0200474215437222,-0.0077738791994519,-0.2317823762067789,0.1187748198581404,-0.3008156287401364,0.008974951506381,-0.1093065896479237,-0.1860538344888386,0.072340585109993,-0.0734624573463778
Abca1,-1,0.2967518787462273,0.1704035343744105,0.1105911872692554,-0.1325019543592011,-0.0856422703256869,0.3485224453873682,0.064318803192349,0.2338084807445588,0.2825453386995974,0.1952958265388319,0.0242048334343049,0.4719133373966993,0.2877299538975839,0.2149588625490945,-0.1425064974678818,0.2617220329849594,0.2527537221339676,0.5637539999774933,0.3049715885855285,0.0278306187933419,0.1373035195236462,-0.1742199112686122,0.307270663321863,0.2001992615107723,0.4832348114805198,-0.1705085474548649,-0.0119858137857463,0.1916998077831073
Abca2,-1,-0.0322871615260788,0.0681695101583071,0.0757759795262105,-0.0051305968671274,0.0461918544014779,-0.0396908113559677,-0.018809689013429,-0.0213314633413141,0.0676745089456835,0.1111599023096352,0.018204802654426,0.1055948767672204,-0.0939875220749588,0.005514545555293,-0.0145260086981565,-0.1332012286456115,-0.0180330145037516,-0.1195234626426613,0.0073796134350251,0.1009171403719196,-0.0004337782812136492,0.0104319231313171,-0.0998431903067812,-0.0112858433915673,0.0799298536852646,0.0790599056390264,0.1494223299993585,0.0771446738090458
Abca5,-1,-0.159248516868614,-0.1330226133201276,-0.1205187787263891,0.0156301334043802,-0.0104253216642259,0.0251820888926312,0.0414336601840144,0.1996735226555591,-0.0305797525263895,-0.175997599353986,-0.2987143014869466,0.1351702526955633,0.1237032544084197,-0.161489015003834,0.1764969164579708,-0.2441705057487111,0.1628104049613128,-0.1722198171699229,-0.1156064590699183,0.0840431409570158,0.0002827137075394297,0.1194715870775977,0.013302820321094,0.4420334922821393,0.2125400925986826,0.0158930159104048,-0.3672287709590116,-0.0222196484346583
Abca7,12,-0.0571933473678531,0.0592718788092907,-0.0195168014709613,-0.0580960481014852,-0.1451347209689248,-0.0388610107214056,-0.0890544702298241,0.0068575019119154,0.0243956936823599,-0.0397310374885561,-0.0556304738822458,0.0618986374924445,-0.0232918710076462,-0.0627004284298945,-0.2853164762447325,-0.1646520291935321,-0.1069104707798181,-0.0625142189390835,-0.0458664601805119,-0.1278884741948517,-0.064528035253239,-0.3834844920228892,-0.0342425903070418,-0.0778315380545438,-0.0158677984759274,-0.3837110231552382,-0.141157121052154,-0.1900914937733904
Abcb1a,-1,0.4052635292711015,0.1488048771066994,0.0756052416991018,0.1447633884080553,-0.1124415679611731,0.1268634099311066,-0.096267128174769,-0.3374780686329309,-0.3661230699707512,-0.100079905558914,-0.0436215759029392,0.3732742592759139,0.5944232676083905,0.4581125065439803,0.2624719358144879,0.3355037312795095,-0.3136918115540731,0.5497893192918224,0.2931664322223694,0.4938190167604347,0.0609142663538329,-0.4793061095453768,0.4818628289970045,0.2992820856659146,0.1618200180406594,-0.2678261821067982,0.037210548813781,-0.2181455897042355
Abcc1,-1,-0.033752640227182,0.1526112173702622,-0.0437489231006682,-0.0368276911887525,-0.0889672546313944,-0.2264066121910633,-0.2110474654338031,-0.0469551732729039,-0.1520904235332792,-0.0664533932898553,-0.0632112295907734,0.0357647011306199,0.0313754367451867,0.0665252626293754,-0.1066348299135802,-0.1239538997683749,-0.1093398766095257,-0.1134912090878601,-0.0770775638803154,-0.1016594640519357,-0.2647317428083646,-0.2194110961730328,-0.0326905427721736,0.2105192180296663,0.2069206602348378,0.021831183823993,0.027318431660632,0.0550412535244092
Abcc3,-1,-0.0210240912486529,-0.0348623028873423,-0.2424462007093351,-0.4145635369067851,-0.1265536782844533,-0.0059153124903863,-0.2738519276250395,-0.0774636312305856,-0.218744582352301,-0.2335606389549546,-0.1620018464146664,-0.2251424716152746,0.2372128117260208,-0.1588920443423427,0.0921697256524021,0.0246328043984536,-0.5019391800447066,-0.0133522397524169,-0.1091220553990622,-0.346913272603317,-0.2693124556316061,-0.0470038733420483,-0.0663688992783897,-0.0825249581275239,-0.4147974316582891,-0.1531779380551494,0.2569960654891722,-0.2149027803425315
Abcc5,-1,-0.0372461344410038,-0.0652559975229733,-0.1183960095110889,-0.1065459731910515,-0.0694203070984918,-0.0419733579305575,0.00253547630157,-0.0335100518028421,-0.080536806831986,0.0582242076922757,0.0194964791634943,-0.0315385520872707,0.0417120696546422,0.009750119711913,-0.0394968053939299,-0.1571234518045979,0.0575258607177757,0.0740857226851343,-0.0631582602053088,-0.1093053050064708,0.005653687570165,-0.0506950491709917,0.0809242064150135,-0.0570393049067716,-0.0125439348664682,-0.0266039562296881,0.0170528870198307,-0.0374038642042038
