feature_call_oBC_CR,count
TNF_A8|p129_A10,1586
TNF_A8|p129_A9,1524
IL4_A2|p129_A10,1505
IL2_A1|p129_A10,1347
IL27_A7|TNF_A8,1316
IL2_A1|TNF_A8,1294
IL4_A2|p129_A9,1262
IL27_A7|p129_A9,1224
p129_A10|p129_A9,1216
IL4_A2|TNF_A8,1214
IL2_A1|p129_A9,1208
IL27_A7|p129_A10,1175
IL2_A1|IL4_A2,1122
IFNB_B5|p129_B9,1042
p129_C10|p129_C9,1039
IL21_B6|p129_B10,1011
IL4_B2|p129_B10,996
IL4_B2|p129_B9,985
TNF_C8|p129_C10,980
IL2_A1|IL27_A7,961
IL4_C2|p129_C10,933
IL12_B4|IFNB_B5,919
IL2_B1|p129_B10,919
IL4_C2|p129_C9,904
IL2_B1|IFNB_B5,901
IL6_C3|p129_C9,900
IL12_B4|p129_B10,896
IL6_C3|p129_C10,891
IL2_C1|p129_C9,887
p129_B10|p129_B9,874
IFNB_B5|TNF_B8,869
TNF_B8|p129_B9,868
IL4_A2|IL27_A7,868
IL2_C1|p129_C10,859
IL12_B4|p129_B9,854
IFNC_C5|p129_C9,841
IFNB_B5|p129_B10,839
TNF_C8|p129_C9,838
IL2_B1|IL21_B6,838
IL21_C6|p129_C10,836
IL12_B4|IL21_B6,826
IL2_B1|IL4_B2,808
IL21_B6|p129_B9,800
IL4_B2|IL12_B4,798
IL4_B2|IFNB_B5,795
IL12_B4|IL27_B7,785
IL12_B4|TNF_B8,782
IL2_C1|IL6_C3,780
IL4_B2|TNF_B8,765
IL6_A3|IL27_A7,762
IL4_B2|IL21_B6,762
IFNB_B5|IL27_B7,758
IL6_C3|TNF_C8,750
IL21_C6|TNF_C8,749
IFNC_C5|p129_C10,744
IL6_A3|TNF_A8,730
IL4_C2|IL6_C3,730
IFNC_C5|TNF_C8,729
IL2_B1|p129_B9,727
IL4_C2|TNF_C8,723
IL2_C1|IL4_C2,720
IL6_C3|IL21_C6,719
IFNB_B5|IL21_B6,714
IL21_C6|p129_C9,713
IL27_C7|p129_C10,712
IL2_C1|TNF_C8,711
IL2_A1|IL6_A3,690
IL27_B7|p129_B10,686
IL6_C3|IFNC_C5,677
IL27_C7|p129_C9,677
IL4_C2|IL21_C6,664
IL27_B7|p129_B9,659
IL4_C2|IFNC_C5,638
IL6_A3|p129_A10,635
IL4_A2|IL6_A3,632
IL27_B7|TNF_B8,632
IL2_B1|TNF_B8,631
IL6_A3|p129_A9,629
IL2_C1|IL27_C7,627
IL2_C1|IL21_C6,618
IL21_B6|TNF_B8,616
TNF_B8|p129_B10,604
IL2_C1|IFNC_C5,602
IL6_C3|IL27_C7,588
IL4_C2|IL27_C7,584
IFNC_C5|IL21_C6,583
IL27_C7|TNF_C8,566
IL4_B2|IL27_B7,564
IL21_C6|IL27_C7,535
IFNC_C5|IL27_C7,531
IL2_B1|IL27_B7,435
IL21_B6|IL27_B7,420
IL2_B1|IL12_B4,411
IL4_A2|IFNA_A5,408
IFNA_A5|TNF_A8,376
IL12_A4|IL27_A7,374
IL2_A1|IFNA_A5,349
IL12_A4|TNF_A8,320
IFNA_A5|IL27_A7,318
IL2_A1|IL12_A4,279
IL4_A2|IL12_A4,274
IFNA_A5|p129_A9,273
IFNA_A5|p129_A10,266
IL12_A4|p129_A9,241
IL12_A4|p129_A10,221
IL6_A3|IFNA_A5,178
IL12_A4|IL6_A3,169
IL6_B3|IFNB_B5,158
IL12_A4|IFNA_A5,127
IL4_B2|IL6_B3,125
IL6_B3|IL21_B6,124
IL2_B1|IL6_B3,108
IL6_B3|p129_B9,105
IL6_B3|p129_B10,102
IL6_B3|TNF_B8,100
IL12_B4|IL6_B3,96
IL6_B3|IL27_B7,90
p129_A9|p129_B10,20
TNF_A8|p129_B10,19
p129_A10|p129_B10,17
p129_A9|p129_C9,16
p129_A10|IL4_B2,15
p129_A10|IL2_B1,15
IL4_A2|p129_B10,15
IL2_A1|IL2_B1,14
TNF_A8|IL6_C3,14
p129_A10|p129_B9,13
p129_B10|p129_C9,13
p129_A9|IL2_B1,12
p129_B10|IL4_C2,12
p129_A9|p129_B9,11
IL2_A1|p129_B10,11
IL27_A7|IL4_B2,11
TNF_A8|p129_C10,11
p129_A9|IL4_C2,10
p129_A9|p129_C10,10
p129_A9|IL2_C1,10
IL4_A2|p129_C9,10
p129_A9|IL4_B2,10
TNF_A8|IL4_C2,9
TNF_A8|IFNB_B5,9
IL2_A1|p129_C9,9
IL27_A7|p129_B10,9
TNF_A8|IL21_B6,9
IL2_B1|p129_C9,9
