feature_call_oBC_umi2,count
TNF_group1|linker_group1-1,1917
TNF_group1|linker_group1,1879
IL4_group1|linker_group1-1,1627
IL2_group1|linker_group1-1,1482
linker_group1|linker_group1-1,1468
IL2_group1|TNF_group1,1446
IL27_group1|TNF_group1,1428
IL4_group1|linker_group1,1396
IL27_group1|linker_group1,1383
IL2_group1|linker_group1,1360
IL27_group1|linker_group1-1,1349
IL4_group1|TNF_group1,1324
linker_group3|linker_group3-1,1217
IL2_group1|IL4_group1,1159
IL4_group2|linker_group2-1,1122
IFNB_group2|linker_group2,1110
IL4_group2|linker_group2,1100
TNF_group3|linker_group3-1,1071
IL21_group2|linker_group2-1,1066
IL2_group2|linker_group2-1,1060
IL6_group3|linker_group3,1055
IL6_group1|TNF_group1,1052
IL12_group2|linker_group2-1,1045
TNF_group2|linker_group2,1035
IL4_group3|linker_group3-1,1024
IL12_group2|linker_group2,1015
IFNC_group3|linker_group3,1003
IL2_group1|IL27_group1,1002
IL2_group2|IFNB_group2,995
linker_group2|linker_group2-1,986
IL4_group3|linker_group3,982
IL12_group2|IFNB_group2,967
IL6_group3|linker_group3-1,967
TNF_group3|linker_group3,963
IL2_group3|linker_group3,963
IL2_group2|IL4_group2,954
IL6_group1|IL27_group1,953
IL6_group1|linker_group1-1,940
IFNB_group2|TNF_group2,938
IL4_group2|IL12_group2,919
IL2_group3|linker_group3-1,916
IL4_group1|IL27_group1,913
IL2_group2|IL21_group2,910
IL6_group1|linker_group1,906
IL12_group2|IL21_group2,903
IL12_group2|TNF_group2,897
IL12_group2|IL27_group2,896
IL21_group3|linker_group3-1,894
IFNB_group2|linker_group2-1,891
IL27_group2|linker_group2-1,879
IL21_group2|linker_group2,875
IL2_group1|IL6_group1,869
IL4_group2|IFNB_group2,856
IL4_group2|TNF_group2,850
IFNC_group3|linker_group3-1,839
IFNB_group2|IL27_group2,836
IL4_group2|IL21_group2,833
IL2_group2|linker_group2,831
IL4_group1|IL6_group1,825
IL2_group3|IL6_group3,816
IL27_group3|linker_group3,811
IL6_group3|TNF_group3,811
IL27_group2|linker_group2,810
IL27_group3|linker_group3-1,806
IL21_group3|linker_group3,794
IL6_group3|IL21_group3,778
IL4_group3|TNF_group3,776
IL4_group3|IL6_group3,775
IL21_group3|TNF_group3,772
IL2_group2|TNF_group2,765
IFNC_group3|TNF_group3,763
IL27_group2|TNF_group2,758
IL6_group3|IFNC_group3,750
IL2_group3|TNF_group3,748
IL2_group3|IL4_group3,744
IFNB_group2|IL21_group2,724
TNF_group2|linker_group2-1,714
